customer_id,full_name,email,country,signup_date,is_prime
CUST-000001,Customer 1,customer1@example.com,PT,2024-03-07,false
CUST-000002,Customer 2,customer2@example.com,BR,2026-04-10,false
CUST-000003,Customer 3,customer3@example.com,GB,2024-04-05,false
CUST-000004,Customer 4,customer4@example.com,US,2024-01-13,true
CUST-000005,Customer 5,customer5@example.com,MX,2024-05-22,false
CUST-000006,Customer 6,customer6@example.com,ES,2025-10-30,false
CUST-000007,Customer 7,customer7@example.com,AU,2024-12-15,true
CUST-000008,Customer 8,customer8@example.com,BR,2025-03-08,false
CUST-000009,Customer 9,customer9@example.com,US,2024-01-11,true
CUST-000010,Customer 10,customer10@example.com,DE,2026-02-02,false
CUST-000011,Customer 11,customer11@example.com,BR,2024-07-10,false
CUST-000012,Customer 12,customer12@example.com,GB,2025-07-06,false
CUST-000013,Customer 13,customer13@example.com,IT,2023-04-03,false
CUST-000014,Customer 14,customer14@example.com,DE,2024-07-06,false
CUST-000015,Customer 15,customer15@example.com,US,2025-11-13,false
CUST-000016,Customer 16,customer16@example.com,MX,2025-03-23,false
CUST-000017,Customer 17,customer17@example.com,US,2024-08-26,false
CUST-000018,Customer 18,customer18@example.com,CA,2023-11-14,false
CUST-000019,Customer 19,customer19@example.com,BR,2025-03-26,false
CUST-000020,Customer 20,customer20@example.com,BR,2024-03-05,false
CUST-000021,Customer 21,customer21@example.com,CA,2024-01-10,false
CUST-000022,Customer 22,customer22@example.com,ES,2023-10-26,false
CUST-000023,Customer 23,customer23@example.com,US,2026-03-07,false
CUST-000024,Customer 24,customer24@example.com,US,2024-11-27,false
CUST-000025,Customer 25,customer25@example.com,US,2023-10-14,false
CUST-000026,Customer 26,customer26@example.com,GB,2024-04-13,false
CUST-000027,Customer 27,customer27@example.com,FR,2023-06-26,false
CUST-000028,Customer 28,customer28@example.com,PT,2026-03-15,false
CUST-000029,Customer 29,customer29@example.com,US,2024-03-26,false
CUST-000030,Customer 30,customer30@example.com,CO,2026-03-21,false
CUST-000031,Customer 31,customer31@example.com,US,2024-07-05,false
CUST-000032,Customer 32,customer32@example.com,MX,2023-12-23,false
CUST-000033,Customer 33,customer33@example.com,PT,2025-08-19,false
CUST-000034,Customer 34,customer34@example.com,US,2023-11-13,false
CUST-000035,Customer 35,customer35@example.com,BR,2024-06-07,true
CUST-000036,Customer 36,customer36.example.com,US,2025-04-13,false
CUST-000037,Customer 37,customer37@example.com,US,2024-03-27,true
CUST-000038,Customer 38,customer38@example.com,CA,2025-11-11,false
CUST-000039,Customer 39,customer39@example.com,DE,2023-01-22,false
CUST-000040,Customer 40,customer40@example.com,FR,2023-08-31,false
CUST-000041,Customer 41,customer41@example.com,AR,2024-01-19,false
CUST-000042,Customer 42,customer42@example.com,DE,2024-06-26,false
CUST-000043,Customer 43,,DE,2024-07-02,false
CUST-000044,Customer 44,customer44@example.com,US,2025-12-13,true
CUST-000045,Customer 45,customer45@example.com,BR,2023-12-28,true
CUST-000046,Customer 46,customer46@example.com,CO,2025-05-23,true
CUST-000047,Customer 47,customer47.example.com,AR,2025-10-25,false
CUST-000048,Customer 48,customer48@example.com,US,2024-12-16,false
CUST-000049,Customer 49,customer49@example.com,CA,2025-05-04,false
CUST-000050,Customer 50,customer50@example.com,DE,2026-01-20,false
CUST-000051,Customer 51,customer51@example.com,IT,2024-02-28,false
CUST-000052,Customer 52,customer52@example.com,AR,2025-06-22,false
CUST-000053,Customer 53,customer53@example.com,MX,2024-06-15,false
CUST-000054,Customer 54,customer54@example.com,GB,2024-05-10,false
CUST-000055,Customer 55,customer55@example.com,US,2023-07-14,false
CUST-000056,Customer 56,customer56@example.com,CA,2025-06-06,true
CUST-000057,Customer 57,customer57@example.com,AR,2023-08-24,false
CUST-000058,Customer 58,customer58@example.com,US,2024-07-05,true
CUST-000059,Customer 59,customer59@example.com,JP,2023-06-26,false
CUST-000060,Customer 60,customer60@example.com,IT,2025-02-16,false
CUST-000061,Customer 61,customer61@example.com,BR,2024-10-12,false
CUST-000062,Customer 62,customer62@example.com,US,2025-04-04,false
CUST-000063,Customer 63,customer63@example.com,US,2023-06-22,false
CUST-000064,Customer 64,customer64@example.com,JP,2023-08-11,false
CUST-000065,Customer 65,customer65@example.com,FR,2023-07-26,false
CUST-000066,Customer 66,customer66@example.com,PT,2025-04-30,false
CUST-000067,Customer 67,customer67@example.com,AR,2026-04-10,true
CUST-000068,Customer 68,customer68@example.com,US,2024-02-17,false
CUST-000069,Customer 69,customer69@example.com,GB,2024-02-25,false
CUST-000070,Customer 70,customer70@example.com,AU,2023-01-11,false
CUST-000071,Customer 71,customer71@example.com,CL,2024-04-17,false
CUST-000072,Customer 72,,CO,2023-09-16,false
CUST-000073,Customer 73,customer73@example.com,MX,2023-09-22,false
CUST-000074,Customer 74,customer74@example.com,JP,2024-05-21,true
CUST-000075,Customer 75,customer75@example.com,BR,2025-11-28,false
CUST-000076,Customer 76,customer76@example.com,DE,2024-03-07,false
CUST-000077,Customer 77,customer77@example.com,US,2025-09-14,true
CUST-000078,Customer 78,customer78@example.com,JP,2024-03-03,false
CUST-000079,Customer 79,customer79@example.com,US,2025-10-02,true
CUST-000080,Customer 80,customer80@example.com,IT,2023-11-05,false
CUST-000081,Customer 81,customer81@example.com,US,2025-05-17,false
CUST-000082,Customer 82,customer82@example.com,US,2023-01-28,false
CUST-000083,Customer 83,customer83@example.com,AR,2023-12-01,false
CUST-000084,Customer 84,customer84@example.com,CA,2023-03-21,false
CUST-000085,Customer 85,customer85@example.com,CL,2024-08-09,false
CUST-000086,Customer 86,customer86@example.com,US,2025-06-03,false
CUST-000087,Customer 87,customer87@example.com,CL,2024-08-03,false
CUST-000088,Customer 88,customer88@example.com,CA,2023-08-16,false
CUST-000089,Customer 89,customer89@example.com,CA,2025-07-31,false
CUST-000090,Customer 90,customer90@example.com,IT,2024-09-06,false
CUST-000091,Customer 91,customer91@example.com,US,2025-04-11,false
CUST-000092,Customer 92,customer92@example.com,MX,2025-06-25,true
CUST-000093,Customer 93,customer93@example.com,MX,2025-03-01,true
CUST-000094,Customer 94,customer94@example.com,CA,2023-08-19,false
CUST-000095,Customer 95,customer95@example.com,CA,2025-08-12,false
CUST-000096,Customer 96,customer96@example.com,US,2025-06-10,true
CUST-000097,Customer 97,customer97.example.com,US,2025-03-27,true
CUST-000098,Customer 98,customer98@example.com,MX,2026-04-09,false
CUST-000099,Customer 99,customer99@example.com,US,2023-08-23,false
CUST-000100,Customer 100,customer100@example.com,AR,2024-05-19,false
CUST-000101,Customer 101,customer101@example.com,US,2023-08-11,false
CUST-000102,Customer 102,,GB,2025-03-26,false
CUST-000103,Customer 103,customer103@example.com,BR,2025-07-15,false
CUST-000104,Customer 104,customer104@example.com,MX,2023-12-24,false
CUST-000105,Customer 105,customer105@example.com,ES,2024-09-24,false
CUST-000106,Customer 106,customer106@example.com,CL,2025-03-04,false
CUST-000107,Customer 107,customer107@example.com,AU,2026-04-07,false
CUST-000108,Customer 108,customer108@example.com,DE,2024-10-17,false
CUST-000109,Customer 109,customer109@example.com,CA,2023-07-08,false
CUST-000110,Customer 110,customer110@example.com,BR,2024-06-17,true
CUST-000111,Customer 111,customer111@example.com,MX,2025-08-29,false
CUST-000112,Customer 112,customer112@example.com,JP,2026-04-18,false
CUST-000113,Customer 113,customer113@example.com,DE,2025-10-18,false
CUST-000114,Customer 114,customer114@example.com,CA,2025-10-02,false
CUST-000115,Customer 115,customer115@example.com,FR,2024-12-05,false
CUST-000116,Customer 116,customer116@example.com,US,2025-12-09,false
CUST-000117,Customer 117,customer117@example.com,BR,2024-04-01,false
CUST-000118,Customer 118,customer118@example.com,US,2024-03-06,false
CUST-000119,Customer 119,customer119@example.com,US,2026-02-19,false
CUST-000120,Customer 120,customer120@example.com,IT,2025-05-09,false
CUST-000121,Customer 121,customer121@example.com,MX,2025-12-04,false
CUST-000122,Customer 122,customer122@example.com,DE,2026-01-28,false
CUST-000123,Customer 123,customer123@example.com,GB,2026-03-09,false
CUST-000124,Customer 124,customer124@example.com,CA,2023-03-08,false
CUST-000125,Customer 125,customer125.example.com,US,2024-01-02,false
CUST-000126,Customer 126,customer126@example.com,DE,2026-02-05,true
CUST-000127,Customer 127,customer127@example.com,US,2025-05-04,true
CUST-000128,Customer 128,customer128@example.com,US,2025-02-21,false
CUST-000129,Customer 129,customer129@example.com,ES,2023-01-13,true
CUST-000130,Customer 130,customer130@example.com,BR,2023-03-21,false
CUST-000131,Customer 131,customer131@example.com,MX,2023-08-29,false
CUST-000132,Customer 132,customer132@example.com,CA,2023-03-10,true
CUST-000133,Customer 133,customer133@example.com,MX,2023-10-18,false
CUST-000134,Customer 134,customer134.example.com,FR,2023-10-11,false
CUST-000135,Customer 135,customer135@example.com,US,2023-01-07,false
CUST-000136,Customer 136,customer136@example.com,AU,2023-11-23,false
CUST-000137,Customer 137,customer137@example.com,US,2026-02-16,false
CUST-000138,Customer 138,,US,2023-03-07,false
CUST-000139,Customer 139,customer139@example.com,AU,2024-02-22,false
CUST-000140,Customer 140,customer140@example.com,JP,2024-11-20,false
CUST-000141,Customer 141,customer141@example.com,US,2025-07-29,false
CUST-000142,Customer 142,customer142@example.com,US,2026-02-03,false
CUST-000143,Customer 143,customer143@example.com,AR,2026-03-24,false
CUST-000144,Customer 144,customer144@example.com,DE,2024-12-11,false
CUST-000145,Customer 145,customer145@example.com,GB,2024-03-29,false
CUST-000146,Customer 146,customer146@example.com,GB,2026-03-11,false
CUST-000147,Customer 147,customer147@example.com,GB,2025-10-13,true
CUST-000148,Customer 148,customer148@example.com,DE,2023-11-09,false
CUST-000149,Customer 149,customer149@example.com,US,2024-03-10,false
CUST-000150,Customer 150,customer150@example.com,US,2023-03-25,false
CUST-000151,Customer 151,customer151@example.com,BR,2024-09-02,false
CUST-000152,Customer 152,customer152@example.com,US,2025-08-21,false
CUST-000153,Customer 153,customer153@example.com,US,2023-03-31,false
CUST-000154,Customer 154,customer154@example.com,US,2026-02-27,true
CUST-000155,Customer 155,customer155@example.com,DE,2025-11-25,false
CUST-000156,Customer 156,customer156@example.com,AU,2023-05-22,false
CUST-000157,Customer 157,customer157@example.com,CA,2024-02-09,false
CUST-000158,Customer 158,customer158@example.com,BR,2024-11-06,false
CUST-000159,Customer 159,customer159@example.com,PT,2023-01-27,false
CUST-000160,Customer 160,customer160@example.com,GB,2024-01-12,true
CUST-000161,Customer 161,customer161@example.com,AU,2026-01-14,false
CUST-000162,Customer 162,customer162@example.com,AR,2024-03-10,false
CUST-000163,Customer 163,customer163@example.com,CL,2025-02-10,false
CUST-000164,Customer 164,customer164@example.com,PT,2023-08-16,false
CUST-000165,Customer 165,customer165@example.com,US,2025-05-15,false
CUST-000166,Customer 166,customer166@example.com,BR,2023-08-28,false
CUST-000167,Customer 167,customer167@example.com,BR,2023-04-27,false
CUST-000168,Customer 168,customer168@example.com,BR,2024-04-14,true
CUST-000169,Customer 169,customer169@example.com,US,2024-07-01,false
CUST-000170,Customer 170,customer170@example.com,AU,2024-10-01,false
CUST-000171,Customer 171,customer171@example.com,US,2025-09-24,false
CUST-000172,Customer 172,customer172@example.com,GB,2026-04-18,false
CUST-000173,Customer 173,customer173@example.com,US,2024-08-11,true
CUST-000174,Customer 174,customer174@example.com,AU,2025-09-30,false
CUST-000175,Customer 175,customer175.example.com,BR,2025-03-25,false
CUST-000176,Customer 176,customer176@example.com,US,2025-05-27,true
CUST-000177,Customer 177,customer177@example.com,JP,2024-08-05,true
CUST-000178,Customer 178,customer178@example.com,BR,2024-08-06,false
CUST-000179,Customer 179,customer179@example.com,US,2024-09-20,false
CUST-000180,Customer 180,customer180@example.com,DE,2023-11-30,false
CUST-000181,Customer 181,customer181@example.com,US,2026-04-03,false
CUST-000182,Customer 182,customer182@example.com,JP,2023-02-12,false
CUST-000183,Customer 183,customer183@example.com,AU,2024-02-11,false
CUST-000184,Customer 184,customer184@example.com,CA,2023-05-10,false
CUST-000185,Customer 185,customer185@example.com,DE,2026-01-04,false
CUST-000186,Customer 186,customer186@example.com,CO,2023-02-08,false
CUST-000187,Customer 187,customer187@example.com,US,2023-02-01,false
CUST-000188,Customer 188,customer188@example.com,US,2025-07-12,false
CUST-000189,Customer 189,customer189@example.com,DE,2023-02-27,false
CUST-000190,Customer 190,customer190@example.com,MX,2023-03-14,false
CUST-000191,Customer 191,customer191@example.com,CA,2023-05-01,false
